ID,Comp ID,Application Date,Response Date,Follow up date,Company,Position,Resume link,Application link,Cover Letter,
1,1,2023-07-27,,,CSC Generation,Senior Full Stack Engineer,https://docs.google.com/document/d/1IMQEv80AIOrEGCYa7saInOYWVz7CdmsCtkBhQlsW5qI/edit,https://jobs.lever.co/cscgeneration-2/bdab5d05-0a69-48e6-8e44-6526441b9ac0?source=6,,
2,2,2023-07-25,2023-08-01,,Amazon,"SDE II Event - Vancouver, Amazon Store",,"SDE II Event - Vancouver, Amazon Stores",,
3,3,2023-08-01,,2023-09-26,Storm2,Full Stack Engineer,https://docs.google.com/document/d/1GxnkvkP6uyJXfKTX2IhMlTdItPgIQxmM8kgZbhPRM4M/edit,https://www.linkedin.com/jobs/view/3664975100/,,
4,4,2023-08-04,2023-08-17,,Push,"Full Stack Software Engineer, Integrations",https://docs.google.com/document/d/1ZvfgQobQjsqsZAjlJs6Gd6gMhG2ThAhyM0FLnfc-uaQ/edit,https://app-elb.pushoperations.com/ats/job-postings/b30a1aca-dd6f-4aab-9f52-091c2d7879a0/public,,
5,5,2023-08-05,,2023-09-26,Commit,Full Stack Engineer [Remote - US + Canada],https://docs.google.com/document/d/1nD2rclJMm_XUAVV7gRtRmaUR8PrwUj72F52Ua5v-zlE/edit,https://www.linkedin.com/jobs/view/3681517334,,
6,6,2023-08-05,2023-08-20,,Slack,"Software Engineer, Backend - Slack (Multiple Levels)",https://docs.google.com/document/d/1y_EOAqq4usk7Qg0AqC8OQI4-X3pvJlHCo6AqU_vg3H0/edit,https://salesforce.wd12.myworkdayjobs.com/en-US/Slack/job/Software-Engineer--Backend---Slack--Multiple-Levels-_JR207032-1,,
7,7,2023-08-21,2023-08-24,,MVP Talent Corp,Senior Frontend Developer,https://docs.google.com/document/d/1fjWkIjuQTxMteiPMAVX1GTD0tJ5EjZt0YVUcy8UzJ5w/edit#heading=h.3znysh7,Linkedin Quick apply,,
8,8,2023-08-21,,,Bounce,Senior Frontend Software Engineer,https://docs.google.com/document/d/1DKEAhFzXXC_2TKsQzWonAuhaXWuh6kYeHQD4kKEfcnY/edit,Linkedin Quick apply,,
9,9,2023-08-21,2023-08-24,,Synergy Loft Inc.,Full Stack Engineer,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit,https://www.linkedin.com/jobs/view/3692308472,,
10,10,2023-08-21,,2023-09-26,Sage Recruiting,Senior Full Stack Engineer,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit,https://www.linkedin.com/jobs/view/3691796005,,
11,11,2023-08-22,,2023-09-26,Busbud,Software Developer - Platform,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit#heading=h.ytp7hcl6fzta,https://www.linkedin.com/jobs/view/3667139355,,
12,12,2023-08-22,,,StackAdapt,Senior Full Stack Engineer - Internal Tools & Billing,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit#heading=h.ytp7hcl6fzta,https://www.linkedin.com/jobs/view/3674768930,,
13,13,2023-08-22,,,Affinity.co,Senior Full Stack Engineer,https://docs.google.com/document/d/1YRYsP0DC2hhxzqe93T9egoknlbwQFR8JmRQcYdyE2Qs/edit,https://www.linkedin.com/jobs/view/3675587733,,
14,14,2023-08-22,,,Applied Systems,Full Stack Developer (React.js),https://docs.google.com/document/d/1IkBTmm3sU5cWHQuop91xaXjn-RTMV0CWRIGEIVKbpFA/edit,https://www.linkedin.com/jobs/view/3675950142,,
15,15,2023-08-23,2023-08-23,,Zapier,"Sr. Engineer, Full Stack (Identity)",https://docs.google.com/document/d/1ANzR1JLbXUEQ0fLIc0NeKVymr7VmUfFPbyROeXXtPAk/edit,https://www.linkedin.com/jobs/view/3625493463,,
16,16,2023-08-23,2023-08-28,,CapIntel,Senior Software Developer - Frontend,https://docs.google.com/document/d/1XZxBYAnmcWrMjiYv3NYRU8Mr3Fe3TKsv1sEPQI-ous8/edit#heading=h.lnxbz9,https://www.linkedin.com/jobs/view/3689912441,,
17,17,2023-08-23,2023-08-26,,Pagefreezer,"Software Engineer, Fullstack",https://docs.google.com/document/d/140DJY-CAj0YnYyLTANsjtaSiUgcYp14Nm0sThOKYMeQ/edit,https://www.linkedin.com/jobs/view/3693019124,,
18,18,2023-08-23,,,Storm4 - AgTech,Full Stack Developer,https://docs.google.com/document/d/1f6pR4noIqq5PPG-VBbDSv-bx-gBfoVgBi5X40pej8cY/edit#heading=h.lnxbz9,https://www.linkedin.com/jobs/view/3680897384,,
19,19,2023-08-23,,,NextPath Career Partners,Full Stack Engineer – React / Next.js – REMOTE (3312),https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit#heading=h.ytp7hcl6fzta,https://www.linkedin.com/jobs/view/3681722076,,
20,20,2023-08-23,,,Chime,Software Developer,https://docs.google.com/document/d/1gGSza6Y4PLfDvRXuj4t-T75KxJtzHRZ0DvsDT_z9824/edit,https://www.linkedin.com/jobs/view/3674498325,https://docs.google.com/document/d/1hFyyunCTKVmQK1Ly4TXDeGV_XRUDGT7Py6hV8FXYPjE/edit,
21,21,2023-08-23,,,Mosey,Senior Full Stack Software Engineer,https://docs.google.com/document/d/1G70rin5BJAMciD-VswqV31Cbl-fVjn1Ns0eCYYhmvHU/edit,https://www.linkedin.com/jobs/view/3696158465,,
22,22,2023-08-23,2023-08-26,,ETM Core,Frontend Developer - Remote,https://docs.google.com/document/d/1i1qE7bUK8Wm5yPQaEIUTxoKX9ZL8Rv7qe1-5SWtwLEI/edit#heading=h.1fob9te,https://www.linkedin.com/jobs/view/3695971987,,
23,23,2023-08-23,,,Stan,Full Stack Software Engineer,https://docs.google.com/document/d/1_nWfESeWnVc_i2zxUnjSLZK-BsEaWtt5ysFJug3B4co/edit,https://stanforcreators.notion.site/Full-Stack-Software-Engineer-a5165fa3b9224d7993ed3a8942aff739,,
24,24,2023-08-23,,,Shakepay,Senior Full Stack Developer (Remote - Canada),https://docs.google.com/document/d/1cwHIPCHfbgFnHUkcfNuN1VzQKp26hGFdEImmk0aRa1A/edit,https://www.linkedin.com/jobs/view/3668078067,,
25,25,2023-08-23,,,Basetwo AI,"Software Engineer, Full Stack",https://docs.google.com/document/d/1BGeCm_Td8FdjaOa9ca6tyGbFTmNOTqt6gDCZnlMmg9Q/edit,https://www.linkedin.com/jobs/view/3698167391,,
26,26,2023-08-23,2023-08-24,,Clipboard Health,Full-Stack Software Engineer,https://docs.google.com/document/d/1vPECtxA1ok8klpm8aUbQAUkewllYq5wkit8QU1MvJC8/edit,https://www.linkedin.com/jobs/view/3694285945,,
27,27,2023-08-24,,,Lululemon,"Senior Full Stack Engineer (Front End focus) - lululemon Studio (Hybrid, Vancouver)",https://docs.google.com/document/d/1wU0qMKYw0jijblW9DryejlhpGrs8ouOHlHPESM-M2ww/edit#heading=h.3znysh7,https://www.linkedin.com/jobs/view/3676776765,,DID NOT SHARED THE RESUME
28,28,2023-08-24,,,Sonos,Software Engineer - Content Systems,https://docs.google.com/document/d/1TFvzuK6gqTPc8lGAQ5Rvm1WQB3cqezrMGRVHo3VYyJQ/edit,https://www.linkedin.com/jobs/view/3697395126,,
29,29,2023-08-27,2023-09-01,,"BC Public Service · British Columbia, Canada (Remote)",Full Stack Developer,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit#heading=h.ytp7hcl6fzta,https://www.linkedin.com/jobs/view/3698445449,,
30,30,2023-08-28,,,Konnect Way,Senior React + PHP Developer,https://docs.google.com/document/d/12TJszmIIe32zdwDUl0WveA21Fpyajbk8qjSZ44SrcXA/edit#heading=h.3znysh7,https://www.linkedin.com/jobs/view/3666768299,,
